KEY,ENGLISH,NOTES,GERMAN,FRENCH,ITALIAN,SPANISH,PORTUGUESE,PORTUGUESE BR,POLISH,RUSSIAN,TURKISH,DANISH,DUTCH,SWEDISH,NORWEGIAN,HUNGARIAN,FINNISH,JAPANESE,SIMPLIFIED CHINESE,KOREAN

ACTION.DRINK_FROM_RIVER,from river,,vom Fluss,,,del río,,,,,,,,,,,,川の水,,
ACTION.JOB.BUTCHER_CREATURE,Butchering,,schlachten,,,Despiezando,,,,,,,,,,,,屠殺している,,
ACTION.JOB.CLEAR_GROUND,Clearing {{targetPlant}},,Entfernt {{plantDescription}},Arrache: {{plantDescription}},Sta rimuovendo: {{plantDescription}},Quitando {{plantDescription}},Limpar {{plantDescription}},Retirando {{targetPlant}},,Расчищает: {{plantDescription}},{{plantDescription}} temizleniyor,Rydder {{targetPlant},,Rensa {{plantDescription}},,,,{{targetPlant}}を伐採している,,
ACTION.JOB.CONSTRUCT_FLOORING,Laying floor,,Boden verlegen,,,Poniendo el suelo,,,,,,,,,,,,床を敷いている,,
ACTION.JOB.CONSTRUCT_FURNITURE,{{profession.verb}} {{targetDescription}},,{{profession.verb}} {{targetDescription}},{{profession.verb}} {{targetDescription}},{{profession.verb}} {{targetDescription}},{{profession.verb}} {{targetDescription}},{{profession.verb}} {{targetDescription}},{{profession.verb}} {{targetDescription}},,{{profession.verb}} {{targetDescription}},{{profession.verb}} {{targetDescription}},{{profession.verb}} {{targetDescription}},,{{profession.verb}} {{targetDescription}},,,,{{profession.verb}} {{targetDescription}},,
ACTION.JOB.CONSTRUCT_MECHANISM,Placing mechanisms,,"Mechaniken platzieren ",,,Colocando mecanismo,,,,,,,,,,,,器械を設置している,,
ACTION.JOB.CONSTRUCT_PIPING,Placing pipe,,Rohr platzieren,,,Polocando tuberías,,,,,,,,,,,,配管を設置している,,
ACTION.JOB.CONSTRUCT_ROOFING,Constructing roof,,baut Dach,,,Construyendo el tejado,,,,,,,,,,,,屋根を設置している,,
ACTION.JOB.CREATE_GENERIC,Producing {{targetDescription}},,Produziert {{targetDescription}},Production de {{targetDescription}},Produzione di {{targetDescription}},Produciendo {{targetDescription}},Produzindo {{targetDescription}},,,Создание {{targetDescription}},{{targetDescription}} üretiliyor,Producerer {{targetDescription}},,Producerar {{targetDescription}},,,,{{targetDescription}}を作成している,,
ACTION.JOB.DECONSTRUCT,Removing {{targetDescription}},,Baut {{targetDescription}} ab,Retire: {{targetDescription}},Sta rimuovendo: {{targetDescription}},Quitando {{targetDescription}},A remover {{targetDescription}},Removendo {{targetDescription}},,Удаляет: {{targetDescription}},{{targetDescription}} kaldırılıyor,Fjerner {{targetDescription}},,Ta bort {{targetDescription}},,,,{{targetDescription}} を削除している,,
ACTION.JOB.DECONSTRUCT_MECHANISM,Removing mechanism,,Entfernt Mechaniken,,,Quitando mecanismo,,,,,,,,,,,,器械を削除している,,
ACTION.JOB.DECONSTRUCT_PIPING,Removing pipe,,Entfernt Rohre,,,Quitando tuberías,,,,,,,,,,,,配管を削除している,,
ACTION.JOB.DECONSTRUCT_ROOFING,Removing roof,,Entfernt Dach,,,Quitando el tejado,,,,,,,,,,,,屋根を削除している,,
ACTION.JOB.DIGGING,Digging {{targetDescription}},,Gräbt {{targetDescription}},Creuse {{targetDescription}},Scavare {{targetDescription}},Excavando {{targetDescription}},Cavando {{targetDescription}},,,Копание {{targetDescription}},{{targetDescription}} kazılıyor,Hakker {{targetDescription}},,Gräva {{targetDescription},,,,{{targetDescription}}を掘削している,,
ACTION.JOB.DUMP_LIQUID_FROM_CONTAINER,Emptying out contents of {{targetDescription}},,Entleeren des Inhalts von {{targetDescription}},,,Vaciando {{targetDescription}},,,,,,,,,,,,{{targetDescription}}を空にしている,,
ACTION.JOB.EXTINGUISH_FLAMES,Putting out a fire,,Löscht ein Feuer,,,Apagando incendio,,,,,,,,,,,,消火している,,
ACTION.JOB.FILL_GRAVE,Filling {{targetDescription}},,Füllt {{targetDescription}},Rempli {{targetDescription}},Riempimento {{targetDescription}},Rellenando {{targetDescription}},Preenchimento {{targetDescription}},,,Заполнение {{targetDescription}},{{targetDescription}} dolduruluyor,Fylder {{targetDescription}},,Fyllning {{targetDescription},,,,を埋めている,,
ACTION.JOB.FISHING,Fishing,,"Angeln ",,,Pescando,,,,,,,,,,,,釣りをしている,,
ACTION.JOB.GENERIC,{{profession.verb}} {{targetDescription}},,{{profession.verb}} {{targetDescription}},{{profession.verb}} {{targetDescription}},{{profession.verb}} {{targetDescription}},{{profession.verb}} {{targetDescription}},{{profession.verb}} {{targetDescription}},{{profession.verb}} {{targetDescription}},,{{profession.verb}} {{targetDescription}},{{profession.verb}} {{targetDescription}},{{profession.verb}} {{targetDescription}},,{{profession.verb}} {{targetDescription}},,,,{{profession.verb}} {{targetDescription}},,
ACTION.JOB.HARVESTING,Harvesting {{targetPlant}},,Erntet {{targetPlant}},Récolte: {{targetPlant}},Sta raccogliendo: {{targetPlant}},Cosechando {{targetPlant}},A colher {{targetPlant}},Colhendo {{targetPlant}},,Собирает: {{targetPlant}},{{targetPlant}} biçiliyor,Høster {{targetPlant}},,Skörd {{targetPlant}},,,,{{targetPlant}}を収穫している,,
ACTION.JOB.INNOCULATE_MUSHROOM_LOG,Injecting mushroom spawn,,Injiziert Pilzkultur,Plantation de la champignonnière,Iniezione delle uova di funghi,Inyectando germen de hongos,Injetar desova de cogumelos,,,Впрыскивание грибов,Mantar özü aşılanıyor.,Indsprøjter svampe spawn,,Injicera svamp leka,,,,キノコの胞子を注入している,,
ACTION.JOB.LOGGING,{{profession.verb}} {{targetPlant}},,{{profession.verb}} {{targetPlant}},{{profession.verb}}: {{targetPlant}},{{profession.verb}}: {{targetPlant}},{{profession.verb}} {{targetPlant}},{{profession.verb}} {{targetPlant}},{{profession.verb}} {{targetPlant}},,{{profession.verb}} {{targetPlant}},{{profession.verb}} {{targetPlant}},{{profession.verb}} {{targetDescription}},,{{profession.verb}} {{targetPlant}},,,,{{profession.verb}} {{targetPlant}},,
