KEY,NOTES,ENGLISH,KOREAN

ACTION.JOB.CLEAR_GROUND,E.g. “Clearing shrub”,Clearing {{targetPlant}},{{대상 플랜트}} 지우기
ACTION.JOB.CONSTRUCT_FURNITURE,E.g. “Crafting furniture”,{{profession.verb}} {{targetDescription}},{{profession.verb}} {{targetDescription}}
ACTION.JOB.CREATE_GENERIC,,Producing {{targetDescription}},{{대상 설명}} 을 (를) 생성하는 중입니다.
ACTION.JOB.DECONSTRUCT,E.g. “Removing stone wall” “Removing wooden wall”,Removing {{targetDescription}},{{대상 설명}} 을 (를) 제거하는 중
ACTION.JOB.DIGGING,,Digging {{targetDescription}},파기 {{대상 설명}}
ACTION.JOB.FILL_GRAVE,For filling a grave with dirt,Filling {{targetDescription}},{{대상 설명}} 을 (를) 채우는 중입니다.
ACTION.JOB.GENERIC,"E.g. “Smelting iron ore”, “Crafting wooden planks”",{{profession.verb}} {{targetDescription}},{{profession.verb}} {{targetDescription}}
ACTION.JOB.HARVESTING,,Harvesting {{targetPlant}},수확 {{타겟 플랜트}}
ACTION.JOB.INNOCULATE_MUSHROOM_LOG,,Injecting mushroom spawn,버섯 산란 주입
ACTION.JOB.LOGGING,,{{profession.verb}} {{targetPlant}},{{전문 동사}} {{profession.verb}}
ACTION.JOB.PLANTING,,Planting {{requiredItem}},심기 {{필수 시스템}}
ACTION.JOB.REMOVE_PESTS_FROM_CROP,,Removing pests from {{targetPlant}},{{대상 식물}} 에서 해충 제거
ACTION.JOB.SHOVELLING,,Shovelling {{targetDescription}},삽질 {{targetDescription}}
ACTION.JOB.TILLING,,Tilling the earth,지구를 경작
ACTION.JOB.TRANSFER_LIQUID,For filling a container with a liquid,Filling {{targetDescription}},{{대상 설명}} 을 (를) 채우는 중입니다.
ACTION.MALTING.VERB,,Malting,
ACTION.PREPARATION.VERB,,Preparing,준비 중
ACTION.SELECT_JOB.DESCRIPTION,When looking for a job to work,Looking for work to do,할 일을 찾고 있습니다.
ACTION.SLEEP_IN_BED.DESCRIPTION,E.g. “Sleeping in wooden bed”,Sleeping in {{containerDescription}},{{containerDescription}} 에서 휴면 중
ACTION.SLEEP_ON_FLOOR.DESCRIPTION,E.g. “Sleeping on rough stone floor”,Sleeping on {{tileDescription}},{{tileDescription}} 에서 일시 정지 중

