KEY,NOTES,ENGLISH,NORWEGIAN

ACTION.JOB.CLEAR_GROUND,E.g. “Clearing shrub”,Clearing {{targetPlant}},Fjerner {{plantDescription}}
ACTION.JOB.CONSTRUCT_FLOORING,,Laying floor,
ACTION.JOB.CONSTRUCT_FURNITURE,E.g. “Crafting furniture”,{{profession.verb}} {{targetDescription}},{{profession.verb}} {{targetDescription}}
ACTION.JOB.CONSTRUCT_ROOFING,,Constructing roof,
ACTION.JOB.CREATE_GENERIC,,Producing {{targetDescription}},
ACTION.JOB.DECONSTRUCT,E.g. “Removing stone wall” “Removing wooden wall”,Removing {{targetDescription}},
ACTION.JOB.DECONSTRUCT_ROOFING,,Removing roof,
ACTION.JOB.DIGGING,,Digging {{targetDescription}},
ACTION.JOB.DUMP_LIQUID_FROM_CONTAINER,For emptying the liquid contents out of a container,Emptying out contents of {{targetDescription}},
ACTION.JOB.EXTINGUISH_FLAMES,,Putting out a fire,
ACTION.JOB.FILL_GRAVE,For filling a grave with dirt,Filling {{targetDescription}},
ACTION.JOB.GENERIC,"E.g. “Smelting iron ore”, “Crafting wooden planks”",{{profession.verb}} {{targetDescription}},{{profession.verb}} {{targetDescription}}
ACTION.JOB.HARVESTING,,Harvesting {{targetPlant}},
ACTION.JOB.INNOCULATE_MUSHROOM_LOG,,Injecting mushroom spawn,
ACTION.JOB.LOGGING,,{{profession.verb}} {{targetPlant}},
ACTION.JOB.PLANTING,,Planting {{requiredItem}},
ACTION.JOB.REMOVE_PESTS_FROM_CROP,,Removing pests from {{targetPlant}},
ACTION.JOB.SHOVELLING,,Shovelling {{targetDescription}},
ACTION.JOB.TILLING,,Tilling the earth,
ACTION.JOB.TRANSFER_LIQUID,For filling a container with a liquid,Filling {{targetDescription}},
ACTION.MALTING.VERB,,Malting,
ACTION.PREPARATION.VERB,,Preparing,
ACTION.SELECT_JOB.DESCRIPTION,When looking for a job to work,Looking for work to do,Leter etter arbeid
ACTION.SLEEP_IN_BED.DESCRIPTION,E.g. “Sleeping in wooden bed”,Sleeping in {{containerDescription}},
ACTION.SLEEP_ON_FLOOR.DESCRIPTION,E.g. “Sleeping on rough stone floor”,Sleeping on {{tileDescription}},

ASHES.NOUN,,Ash,

