KEY,NOTES,ENGLISH,POLISH

ACTION.JOB.CLEAR_GROUND,E.g. “Clearing shrub”,Clearing {{targetPlant}},Usuwanie {{plantDescription}}
ACTION.JOB.CONSTRUCT_FURNITURE,E.g. “Crafting furniture”,{{profession.verb}} {{targetDescription}},{{profession.verb}} {{targetDescription}}
ACTION.JOB.CREATE_GENERIC,,Producing {{targetDescription}},Wytwarzanie {{targetDescription}}
ACTION.JOB.DECONSTRUCT,E.g. “Removing stone wall” “Removing wooden wall”,Removing {{targetDescription}},Usuwa {{targetDescription}}
ACTION.JOB.DIGGING,,Digging {{targetDescription}},Kopanie {{targetDescription}}
ACTION.JOB.FILL_GRAVE,For filling a grave with dirt,Filling {{targetDescription}},Wypełnienie {{targetDescription}}
ACTION.JOB.GENERIC,"E.g. “Smelting iron ore”, “Crafting wooden planks”",{{profession.verb}} {{targetDescription}},{{profession.verb}} {{targetDescription}}
ACTION.JOB.HARVESTING,,Harvesting {{targetPlant}},Zbiera {{targetPlant}}
ACTION.JOB.INNOCULATE_MUSHROOM_LOG,,Injecting mushroom spawn,Wstrzykiwanie grzyba tarła
ACTION.JOB.LOGGING,,{{profession.verb}} {{targetPlant}},{{profession.verb}} {{targetPlant}}
ACTION.JOB.PLANTING,,Planting {{requiredItem}},Sadzi {{requiredItem}}
ACTION.JOB.REMOVE_PESTS_FROM_CROP,,Removing pests from {{targetPlant}},Usuwa szkodniki z {{targetPlant}}
ACTION.JOB.SHOVELLING,,Shovelling {{targetDescription}},Łopata {{targetDescription}}
ACTION.JOB.TILLING,,Tilling the earth,Uprawia ziemię
ACTION.JOB.TRANSFER_LIQUID,For filling a container with a liquid,Filling {{targetDescription}},Wypełnia {{targetDescription}}
ACTION.MALTING.VERB,,Malting,
ACTION.PREPARATION.VERB,,Preparing,Przygotowuję się
ACTION.SELECT_JOB.DESCRIPTION,When looking for a job to work,Looking for work to do,Szuka pracy
ACTION.SLEEP_IN_BED.DESCRIPTION,E.g. “Sleeping in wooden bed”,Sleeping in {{containerDescription}},Śpi w {{containerDescription}}
ACTION.SLEEP_ON_FLOOR.DESCRIPTION,E.g. “Sleeping on rough stone floor”,Sleeping on {{tileDescription}},Śpi na {{tileDescription}}

CONSTRUCTION.DESCRIPTION,E.g. “Construction of granite stonemason workbench”,Construction of {{materialType.adjective}} {{furnitureType.noun}},W budowie: {{materialType.adjective}} {{furnitureType.noun}}
CONSTRUCTION.ITEM_ALLOCATION,E.g. “1 of 3 marble blocks allocated” (or assigned),{{quantity}} of {{itemDescription}} allocated,Liczba przydzielonych {{itemDescription}}: {{quantity}}
CONSTRUCTION.STATUS.CLEARING_WORK_SITE,This is to be displayed when other items need to be cleared out from an area that has something being built over it,Removing other items,Usuwanie innych przedmiotów
CONSTRUCTION.STATUS.CLEARING_WORK_SITE.TOOLTIP,,There are items that need to be removed from this furniture’s construction area before it can progress.,"Są przedmioty, które należy usunąć z obszaru budowy tego mebla, zanim będzie się rozwijać."
CONSTRUCTION.STATUS.SELECTING_MATERIALS,E.g. “Waiting for more wooden planks to be available”,Waiting for more {{materialType}} {{itemDescription.plural}} to be available,Oczekuje aż będzie dostępne więcej {{materialType}} {{itemDescription.plural}}
CONSTRUCTION.STATUS.WAITING_FOR_COMPLETION,This is displayed once all resources are in place and the construction is being worked on,Under construction,W budowie
CONSTRUCTION.STATUS.WAITING_FOR_RESOURCES,This is displayed while a construction is waiting for resource items to be placed in the build area,Waiting for resources to arrive,Oczekuje na dostawę zasobów

COOKING.BREAD.DESCRIPTION,E.g. “Wheat bread”,{{materialDescription}} bread,{{materialDescription}} chleb
COOKING.DUAL_INGREDIENT.DESCRIPTION,"E.g. “Tomato and potato”, to be used for for two ingredients together as below",{{materialOne}} and {{materialTwo}},{{materialOne}} i {{materialTwo}}
COOKING.SOUP.DESCRIPTION,"E.g. “Tomato soup”, “Tomato and potato soup”, “Vegetable soup”",{{materialDescription}} soup,Zupa z {{materialDescription}}

CRAFTING_TYPE.BAKING,,Baking,
CRAFTING_TYPE.BLACKSMITHING,,Blacksmithing,
CRAFTING_TYPE.CARPENTRY,,Carpentry,
CRAFTING_TYPE.COKE_OVEN_BAKING,,Coke baking,
CRAFTING_TYPE.FERMENTING,,Fermenting,
CRAFTING_TYPE.MALTING,,Malting,
CRAFTING_TYPE.MALT_MASHING,,Malt mashing,
CRAFTING_TYPE.MILLING,,Milling,
CRAFTING_TYPE.ORE_CRUSHING,,Ore crushing,
CRAFTING_TYPE.SMELTING,,Smelting,
CRAFTING_TYPE.STONEMASONRY,,Stonemasonry,
CRAFTING_TYPE.WOODCUTTING,,Woodcutting,
CRAFTING_TYPE.WORT_BREWING,,Brewing,

CROP.AFFLICTED_BY_PESTS,For when a crop plant is infested with insects and other pests and needs some work to remove them,Afflicted by pests,Zaatakowane przez szkodniki
CROP.AFFLICTED_BY_PESTS.TOOLTIP,,This crop has been afflicted by an excessive number of aphids and other insects which need to be removed by a {{PROFESSION.FARMER}} before it can flourish again. Not removing the pests in time could mean that this crop dies!,"Uprawa ta została dotknięta nadmierną liczbą mszyc i innych owadów, które muszą zostać usunięte przez {{PROFESSION.FARMER}}, zanim będzie mogła ponownie rozkwitnąć. Nie usunięcie szkodników w czasie może oznaczać, że ta plona umiera!"
CROP.DESCRIPTION,,{{materialType.noun}} plant,Roślina {{materialType.noun}}
