KEY,NOTES,ENGLISH,RUSSIAN

ACTION.DRINK_FROM_RIVER,,from river,из реки
ACTION.JOB.BUTCHER_CREATURE,,Butchering,Разделка мяса
ACTION.JOB.CLEAR_GROUND,E.g. “Clearing shrub”,Clearing {{targetPlant}},Расчистка {{plantDescription}}
ACTION.JOB.CONSTRUCT_FLOORING,,Laying floor,Укладка пола
ACTION.JOB.CONSTRUCT_FURNITURE,E.g. “Crafting furniture”,{{profession.verb}},Изготовление мебели: {{profession.verb}} 
ACTION.JOB.CONSTRUCT_MECHANISM,,Placing mechanisms,Размещение механизмов
ACTION.JOB.CONSTRUCT_PIPING,,Placing pipe,Установка труб
ACTION.JOB.CONSTRUCT_ROOFING,,Constructing roof,Соорожение крыши
ACTION.JOB.CREATE_GENERIC,,Producing {{targetDescription}},Производство {{targetDescription}}
ACTION.JOB.DECONSTRUCT,E.g. “Removing stone wall” “Removing wooden wall”,Removing {{targetDescription}},Удаление: {{targetDescription}}
ACTION.JOB.DECONSTRUCT_MECHANISM,,Removing mechanism,Удаление механизмов
ACTION.JOB.DECONSTRUCT_PIPING,,Removing pipe,Удаление труб
ACTION.JOB.DECONSTRUCT_ROOFING,,Removing roof,Удаление крыши
ACTION.JOB.DIGGING,,Digging {{targetDescription}},Копание {{targetDescription}}
ACTION.JOB.DUMP_LIQUID_FROM_CONTAINER,For emptying the liquid contents out of a container,Emptying out contents of {{targetDescription}},Опорожнение содержимого {{targetDescription}} 
ACTION.JOB.EXTINGUISH_FLAMES,,Putting out a fire,Тушение огоня
ACTION.JOB.FILL_GRAVE,For filling a grave with dirt,Filling {{targetDescription}},Заполнение {{targetDescription}}
ACTION.JOB.FISHING,,Fishing,Рыбалка
ACTION.JOB.GENERIC,"E.g. “Smelting iron ore”, “Crafting wooden planks”",{{profession.verb}} {{targetDescription}},"Изготовление деревянных досок {{profession.verb}} {{targetDescription}}"
ACTION.JOB.HARVESTING,,Harvesting {{targetPlant}},Сбор урожая: {{targetPlant}}
ACTION.JOB.INNOCULATE_MUSHROOM_LOG,,Injecting mushroom spawn,Введение грибных спор
ACTION.JOB.LOGGING,,{{profession.verb}} {{targetPlant}},{{profession.verb}} {{targetPlant}}
ACTION.JOB.PLANTING,,Planting {{requiredItem}},Посадка: {{requiredItem}}
ACTION.JOB.REMOVE_PESTS_FROM_CROP,,Removing pests from {{targetPlant}},Удаление вредителей из: {{targetPlant}}
ACTION.JOB.SHOVELLING,,Shovelling {{targetDescription}},Перекапывание{{targetDescription}}
ACTION.JOB.TILLING,,Tilling the earth,Возделывание земли
ACTION.JOB.TRANSFER_LIQUID,For filling a container with a liquid,Filling {{targetDescription}},Заполнение: {{targetDescription}}
ACTION.KNOCKED_UNCONSCIOUS,,Knocked unconscious,Потерял сознание
ACTION.MALTING.VERB,,Malting,Соложение
ACTION.PREPARATION.VERB,,Preparing,Подготовка
ACTION.SELECT_JOB.DESCRIPTION,When looking for a job to work,Looking for work to do,Поиск работы которую нужно сделать
ACTION.SLEEP_ON_FLOOR.DESCRIPTION,E.g. “Sleeping on rough stone floor”,Sleeping on {{tileDescription}},Спящий на: {{tileDescription}}
ACTION.STUNNED,,Stunned,Ошеломленный

ASHES.NOUN,,Ash,Пепел

BODY_STRUCTURE.ABDOMEN,,Abdomen,Брюшная полость
BODY_STRUCTURE.ARM,,Arm,Рука
BODY_STRUCTURE.DAMAGE.BLEEDING,,Bleeding,Кровотечение
BODY_STRUCTURE.DAMAGE.BROKENBONES,,Broken,Сломанный
BODY_STRUCTURE.DAMAGE.BRUISED,,Bruised,Ушибленный
BODY_STRUCTURE.DAMAGE.DESTROYED,,Destroyed,Уничтоженный
BODY_STRUCTURE.DISCRIMINATOR.BACKLEFT,,Rear left,Задний нижний
BODY_STRUCTURE.DISCRIMINATOR.BACKRIGHT,,Rear right,Задний правый
BODY_STRUCTURE.DISCRIMINATOR.FRONTRIGHT,,Front right,Передний правый
BODY_STRUCTURE.DISCRIMINATOR.LEFT,,Left,Лево
BODY_STRUCTURE.DISCRIMINATOR.RIGHT,,Right,Право
BODY_STRUCTURE.FOOT,,Foot,Ступня
BODY_STRUCTURE.HAND,,Hand,Рука
BODY_STRUCTURE.HEAD,,Head,Голова
BODY_STRUCTURE.HOOF,,Hoof,Копыто
BODY_STRUCTURE.LEG,,Leg,Нога
BODY_STRUCTURE.ORGAN.BRAIN,,Brain,Мозг
BODY_STRUCTURE.ORGAN.EYE,,Eye,Глаз
BODY_STRUCTURE.ORGAN.HEART,,Heart,Сердце
BODY_STRUCTURE.ORGAN.INTESTINES,,Intestines,Кишечник
BODY_STRUCTURE.ORGAN.KIDNEY,,Kidney,Почка
BODY_STRUCTURE.ORGAN.LUNG,,Lung,Печень
BODY_STRUCTURE.ORGAN_DAMAGE.DESTROYED,,Destroyed,Уничтожен
BODY_STRUCTURE.ORGAN_DAMAGE.HEAVY,,Heavy damage to,Серьезное повреждение
BODY_STRUCTURE.ORGAN_DAMAGE.LIGHT,,Light damage to,Легкое повреждение
BODY_STRUCTURE.PAW,,Paw,Лапа
BODY_STRUCTURE.TORSO,,Chest,Грудь

BONE.BONE,,Bone,Кость

CARCASS.CARP.PREPARED.NOUN,,Carp fillet,Филе карпа
CARCASS.CARP.PREPARED.PLURAL,,Carp fillets,Филе карпа
CARCASS.GROUP,,Corpses,Трупы
CARCASS.MEAT.LARGE,,Meat (large),Большой кусок мяса
CARCASS.MEAT.MEDIUM,,Meat (medium),Средний кусок мяса
CARCASS.MEAT.SMALL,,Meat (small),Маленький кусок мяса
CARCASS.PERCH.PREPARED.NOUN,,Perch fillet,Филе окуня
CARCASS.PERCH.PREPARED.PLURAL,,Perch fillets,Филе окуня
CARCASS.PIKE.PREPARED.NOUN,,Pike fillet,Филе щуки
CARCASS.PIKE.PREPARED.PLURAL,,Pike fillets,Филе щуки

CLOTH.BRONZED_HEMP,,Hemp,Пенька
CLOTH.HEMP-LINEN,,Hemp,Пенька
CLOTH.LIGHT_HEMP,,Hemp,Пенька
CLOTH.TOBACCO_CLOTH,,Tobacco cloth,Табачная ткань

CONSTRUCTION.DESCRIPTION,E.g. “Construction of granite stonemason workbench”,Construction of {{materialType.adjective}} {{furnitureType.noun}},Строительство: {{furnitureType.noun}} {{materialType.adjective}}
CONSTRUCTION.ITEM_ALLOCATION,E.g. “1 of 3 marble blocks allocated” (or assigned),{{quantity}} of {{itemDescription}} allocated,Выделено: {{quantity}} из {{itemDescription}}
CONSTRUCTION.STATUS.CLEARING_WORK_SITE,This is to be displayed when other items need to be cleared out from an area that has something being built over it,Removing other items,Убирает другие предметы
CONSTRUCTION.STATUS.CLEARING_WORK_SITE.TOOLTIP,,There are items that need to be removed from this furniture’s construction area before it can progress.,"Есть предметы, которые необходимо удалить из строительной зоны, прежде, чем эта мебель будет установлена."
CONSTRUCTION.STATUS.SELECTING_MATERIALS,E.g. “Waiting for more wooden planks to be available”,Waiting for more {{materialType}} {{itemDescription.plural}} to be available,Ожидание дополнительных материалов: {{materialType}} {{itemDescription.plural}}
CONSTRUCTION.STATUS.WAITING_FOR_COMPLETION,This is displayed once all resources are in place and the construction is being worked on,Under construction,Идет строительство
CONSTRUCTION.STATUS.WAITING_FOR_RESOURCES,This is displayed while a construction is waiting for resource items to be placed in the build area,Waiting for resources to arrive,Ожидание доставки ресурсов

COOKING.BREAD.DESCRIPTION,E.g. “Wheat bread”,{{materialDescription}} bread,{{materialDescription}} Хлеб
COOKING.DUAL_INGREDIENT.DESCRIPTION,"E.g. “Tomato and potato”, to be used for for two ingredients together as below",{{materialOne}} and {{materialTwo}},{{materialOne}} и {{materialTwo}}
COOKING.SOUP.DESCRIPTION,"E.g. “Tomato soup”, “Tomato and potato soup”, “Vegetable soup”",{{materialDescription}} soup,{{materialDescription}} Суп
COOKING.TRIPLE_INGREDIENT.DESCRIPTION,"E.g. “Fish, tomato and potato”, to be used for for three ingredients together as below","{{materialOne}}, {{materialTwo}} and {{materialThree}}","{{materialOne}}, {{materialTwo}} и {{materialThree}}"

CRAFTING_TYPE.BAKING,,Baking,Выпечка
CRAFTING_TYPE.BLACKSMITHING,,Blacksmithing,Кузнечное дело
CRAFTING_TYPE.CARPENTRY,,Carpentry,Плотницкое дело
CRAFTING_TYPE.COKE_OVEN_BAKING,,Coke baking,Коксирование каменного угля
