KEY,NOTES,ENGLISH,SIMPLIFIED CHINESE

ACTION.DRINK_FROM_RIVER,,from river,河水
ACTION.JOB.BUTCHER_CREATURE,,Butchering,屠宰
ACTION.JOB.CLEAR_GROUND,E.g. “Clearing shrub”,Clearing {{targetPlant}},正在清除{{targetPlant}}
ACTION.JOB.CONSTRUCT_FLOORING,,Laying floor,正在铺设地板
ACTION.JOB.CONSTRUCT_FURNITURE,E.g. “Crafting furniture”,{{profession.verb}} {{targetDescription}},{{profession.verb}} {{targetDescription}}
ACTION.JOB.CONSTRUCT_MECHANISM,,Placing mechanisms,正在安放机械装置
ACTION.JOB.CONSTRUCT_PIPING,,Placing pipe,铺设管道
ACTION.JOB.CONSTRUCT_ROOFING,,Constructing roof,建造屋顶
ACTION.JOB.CREATE_GENERIC,,Producing {{targetDescription}},正在生产{{targetDescription}}
ACTION.JOB.DECONSTRUCT,E.g. “Removing stone wall” “Removing wooden wall”,Removing {{targetDescription}},正在移除{{targetDescription}}
ACTION.JOB.DECONSTRUCT_MECHANISM,,Removing mechanism,正在移除机械装置
ACTION.JOB.DECONSTRUCT_PIPING,,Removing pipe,移除管道
ACTION.JOB.DECONSTRUCT_ROOFING,,Removing roof,移除屋顶
ACTION.JOB.DIGGING,,Digging {{targetDescription}},正在挖掘{{targetDescription}}
ACTION.JOB.DUMP_LIQUID_FROM_CONTAINER,For emptying the liquid contents out of a container,Emptying out contents of {{targetDescription}},正在清空{{targetDescription}}
ACTION.JOB.EXTINGUISH_FLAMES,,Putting out a fire,正在灭火
ACTION.JOB.FILL_GRAVE,For filling a grave with dirt,Filling {{targetDescription}},正在填埋{{targetDescription}}
ACTION.JOB.FISHING,,Fishing,钓鱼
ACTION.JOB.GENERIC,"E.g. “Smelting iron ore”, “Crafting wooden planks”",{{profession.verb}} {{targetDescription}},{{profession.verb}} {{targetDescription}}
ACTION.JOB.HARVESTING,,Harvesting {{targetPlant}},正在收割{{targetPlant}}
ACTION.JOB.INNOCULATE_MUSHROOM_LOG,,Injecting mushroom spawn,正在注入菌种
ACTION.JOB.LOGGING,,{{profession.verb}} {{targetPlant}},{{profession.verb}} {{targetPlant}}
ACTION.JOB.PLANTING,,Planting {{requiredItem}},正在种植{{requiredItem}}
ACTION.JOB.REMOVE_PESTS_FROM_CROP,,Removing pests from {{targetPlant}},正在为{{targetPlant}}除虫
ACTION.JOB.SHOVELLING,,Shovelling {{targetDescription}},正在铲{{targetDescription}}
ACTION.JOB.TILLING,,Tilling the earth,正在耕地
ACTION.JOB.TRANSFER_LIQUID,For filling a container with a liquid,Filling {{targetDescription}},正在填装{{targetDescription}}
ACTION.KNOCKED_UNCONSCIOUS,,Knocked unconscious,失去知觉
ACTION.MALTING.VERB,,Malting,制作麦芽
ACTION.PREPARATION.VERB,,Preparing,准备
