KEY,NOTES,ENGLISH,SWEDISH

ACTION.JOB.CLEAR_GROUND,E.g. “Clearing shrub”,Clearing {{targetPlant}},Rensa {{plantDescription}}
ACTION.JOB.CONSTRUCT_FURNITURE,E.g. “Crafting furniture”,{{profession.verb}} {{targetDescription}},{{profession.verb}} {{targetDescription}}
ACTION.JOB.CREATE_GENERIC,,Producing {{targetDescription}},Producerar {{targetDescription}}
ACTION.JOB.DECONSTRUCT,E.g. “Removing stone wall” “Removing wooden wall”,Removing {{targetDescription}},Ta bort {{targetDescription}}
ACTION.JOB.DIGGING,,Digging {{targetDescription}},Gräva {{targetDescription}
ACTION.JOB.FILL_GRAVE,For filling a grave with dirt,Filling {{targetDescription}},Fyllning {{targetDescription}
ACTION.JOB.GENERIC,"E.g. “Smelting iron ore”, “Crafting wooden planks”",{{profession.verb}} {{targetDescription}},{{profession.verb}} {{targetDescription}}
ACTION.JOB.HARVESTING,,Harvesting {{targetPlant}},Skörd {{targetPlant}}
ACTION.JOB.INNOCULATE_MUSHROOM_LOG,,Injecting mushroom spawn,Injicera svamp leka
ACTION.JOB.LOGGING,,{{profession.verb}} {{targetPlant}},{{profession.verb}} {{targetPlant}}
ACTION.JOB.PLANTING,,Planting {{requiredItem}},Plantering {{RequireDem}}
ACTION.JOB.REMOVE_PESTS_FROM_CROP,,Removing pests from {{targetPlant}},Ta bort skadedjur från {{targetPlant}}
ACTION.JOB.SHOVELLING,,Shovelling {{targetDescription}},Skovning {{targetDescription}
ACTION.JOB.TILLING,,Tilling the earth,Jordbearbetning
ACTION.JOB.TRANSFER_LIQUID,For filling a container with a liquid,Filling {{targetDescription}},Fyllning {{targetDescription}
ACTION.PREPARATION.VERB,,Preparing,Förbereder
ACTION.SELECT_JOB.DESCRIPTION,When looking for a job to work,Looking for work to do,Söker efter arbete
ACTION.SLEEP_IN_BED.DESCRIPTION,E.g. “Sleeping in wooden bed”,Sleeping in {{containerDescription}},Sova i {{ContainerDescription}
ACTION.SLEEP_ON_FLOOR.DESCRIPTION,E.g. “Sleeping on rough stone floor”,Sleeping on {{tileDescription}},Sova på {{TileDescription}

CONSTRUCTION.DESCRIPTION,E.g. “Construction of granite stonemason workbench”,Construction of {{materialType.adjective}} {{furnitureType.noun}},Konstruktion av {{materialType.adjective}} {{furnitureType.noun}}
CONSTRUCTION.ITEM_ALLOCATION,E.g. “1 of 3 marble blocks allocated” (or assigned),{{quantity}} of {{itemDescription}} allocated,{{kvantitet}} av {{itemDescription}} allokerade
CONSTRUCTION.STATUS.CLEARING_WORK_SITE,This is to be displayed when other items need to be cleared out from an area that has something being built over it,Removing other items,Ta bort andra objekt
CONSTRUCTION.STATUS.CLEARING_WORK_SITE.TOOLTIP,,There are items that need to be removed from this furniture’s construction area before it can progress.,Det finns föremål som måste tas bort från möbelns byggområde innan det kan utvecklas.
CONSTRUCTION.STATUS.SELECTING_MATERIALS,E.g. “Waiting for more wooden planks to be available”,Waiting for more {{materialType}} {{itemDescription.plural}} to be available,Väntar på att fler {{MaterialType}} {{itemDescription.plural}} är tillgängliga
CONSTRUCTION.STATUS.WAITING_FOR_COMPLETION,This is displayed once all resources are in place and the construction is being worked on,Under construction,Under konstruktion
CONSTRUCTION.STATUS.WAITING_FOR_RESOURCES,This is displayed while a construction is waiting for resource items to be placed in the build area,Waiting for resources to arrive,Väntar på resurser att komma fram

COOKING.BREAD.DESCRIPTION,E.g. “Wheat bread”,{{materialDescription}} bread,{{MaterialDescription}} bröd
COOKING.DUAL_INGREDIENT.DESCRIPTION,"E.g. “Tomato and potato”, to be used for for two ingredients together as below",{{materialOne}} and {{materialTwo}},{{MaterialAlone}} och {{MaterialTwo}}
COOKING.SOUP.DESCRIPTION,"E.g. “Tomato soup”, “Tomato and potato soup”, “Vegetable soup”",{{materialDescription}} soup,{{MaterialDescription}} soppa

CROP.AFFLICTED_BY_PESTS,For when a crop plant is infested with insects and other pests and needs some work to remove them,Afflicted by pests,Pådrabbad av skadedjur
