KEY,NOTES,ENGLISH,FRENCH,SPANISH,GERMAN,ITALIAN,PORTUGUESE BR,PORTUGUESE,RUSSIAN,POLISH,DUTCH,SWEDISH,NORWEGIAN,HUNGARIAN,FINNISH
,,,,,,,,,,,,,,,
ACTION.JOB.CLEAR_GROUND,E.g. “Clearing shrub”,Clearing {{targetPlant}},Arrachant : {{plantDescription}},Eliminando {{plantDescription}},Entfernt {{plantDescription}},Sta rimuovendo: {{plantDescription}},Retirando {{targetPlant}},Limpar {{plantDescription}},Расчищает: {{plantDescription}},Usuwanie {{plantDescription}},{plantDescription}} verwijderen,Rensa {{plantDescription}},Fjerner {{plantDescription}},,Poistaminen: {{plantDescription}}
ACTION.JOB.CONSTRUCT_FURNITURE,E.g. “Crafting furniture”,{{profession.verb}} {{targetDescription}},{{profession.verb}} {{targetDescription}},{{profession.verb}} {{targetDescription}},{{profession.verb}} {{targetDescription}},{{profession.verb}} {{targetDescription}},{{profession.verb}} {{targetDescription}},{{profession.verb}} {{targetDescription}},{{profession.verb}} {{targetDescription}},{{profession.verb}} {{targetDescription}},{{profession.verb}} {{targetDescription}},{{profession.verb}} {{targetDescription}},{{profession.verb}} {{targetDescription}},{{profession.verb}} {{targetDescription}},{{profession.verb}} {{targetDescription}}
ACTION.JOB.DECONSTRUCT,E.g. “Removing stone wall” “Removing wooden wall”,Removing {{targetDescription}},Retirant : {{targetDescription}},Quitando {{targetDescription}},Baut {{targetDescription}} ab,Sta rimuovendo: {{targetDescription}},Removendo {{targetDescription}},A remover {{targetDescription}},Удаляет: {{targetDescription}},Usuwa {{targetDescription}},,,,,
ACTION.JOB.GENERIC,"E.g. “Smelting iron ore”, “Crafting wooden planks”",{{profession.verb}} {{targetDescription}},{{profession.verb}} {{targetDescription}},{{profession.verb}} {{targetDescription}},{{profession.verb}} {{targetDescription}},{{profession.verb}} {{targetDescription}},{{profession.verb}} {{targetDescription}},{{profession.verb}} {{targetDescription}},{{profession.verb}} {{targetDescription}},{{profession.verb}} {{targetDescription}},{{profession.verb}} {{targetDescription}},{{profession.verb}} {{targetDescription}},{{profession.verb}} {{targetDescription}},{{profession.verb}} {{targetDescription}},{{profession.verb}} {{targetDescription}}
ACTION.JOB.HARVESTING,,Harvesting {{targetPlant}},Récoltant : {{targetPlant}},Cosechando {{targetPlant}},Erntet {{targetPlant}},Sta raccogliendo: {{targetPlant}},Colhendo {{targetPlant}},A colher {{targetPlant}},Собирает: {{targetPlant}},Zbiera {{targetPlant}},,,,,
ACTION.JOB.INNOCULATE_MUSHROOM_LOG,,Injecting mushroom spawn,,,,,,,,,,,,,
ACTION.JOB.LOGGING,,{{profession.verb}} {{targetPlant}},{{profession.verb}} : {{targetPlant}},{{profession.verb}} {{targetPlant}},{{profession.verb}} {{targetPlant}},{{profession.verb}}: {{targetPlant}},{{profession.verb}} {{targetPlant}},{{profession.verb}} {{targetPlant}},{{profession.verb}} {{targetPlant}},{{profession.verb}} {{targetPlant}},,,,,
ACTION.JOB.PLANTING,,Planting {{requiredItem}},Plantant : {{requiredItem}},Colocando {{requiredItem}},Pflanzt {{requiredItem}},Sta piantando: {{requiredItem}},Plantando {{requiredItem}},A plantar {{requiredItem}},Сажает: {{requiredItem}},Sadzi {{requiredItem}},,,,,
ACTION.JOB.REMOVE_PESTS_FROM_CROP,,Removing pests from {{targetPlant}},Désinsectisant : {{targetPlant}},Eliminando plagas de {{targetPlant}},Entfernt Schädlinge von {{targetPlant}},Sta disinfestando: {{targetPlant}},Exterminando pragas de {{targetPlant}},A remover pragas de {{targetPlant}},Избавляет от вредителей: {{targetPlant}},Usuwa szkodniki z {{targetPlant}},,,,,
ACTION.JOB.TILLING,,Tilling the earth,Labourant la terre,Labrando la tierra,Beackert den Boden,Sta arando il terreno,Lavrando a terra,A lavrar a terra,Обрабатывает землю,Uprawia ziemię,,,,,
ACTION.JOB.SHOVELLING,,Shovelling {{targetDescription}},,,,,,,,,,,,,
ACTION.JOB.DIGGING,,Digging {{targetDescription}},,,,,,,,,,,,,
ACTION.JOB.TRANSFER_LIQUID,For filling a container with a liquid,Filling {{targetDescription}},Remplissant : {{targetDescription}},Llenando {{targetDescription}},Füllt {{targetDescription}},Sta riempiendo: {{targetDescription}},Enchendo {{targetDescription}},A encher {{targetDescription}},Заполняет: {{targetDescription}},Wypełnia {{targetDescription}},,,,,
ACTION.JOB.DUMP_LIQUID_FROM_CONTAINER,For emptying the liquid contents out of a container,Emptying out contents of {{targetDescription}},,,,,,,,,,,,,
ACTION.JOB.FILL_GRAVE,For filling a grave with dirt,Filling {{targetDescription}},,,,,,,,,,,,,
ACTION.JOB.CREATE_GENERIC,,Producing {{targetDescription}},,,,,,,,,,,,,
ACTION.JOB.CONSTRUCT_ROOFING,,Constructing roof,,,,,,,,,,,,,
ACTION.JOB.DECONSTRUCT_ROOFING,,Removing roof,,,,,,,,,,,,,
ACTION.JOB.CONSTRUCT_PIPING,,Placing pipe,,,,,,,,,,,,,
ACTION.JOB.DECONSTRUCT_PIPING,,Removing pipe,,,,,,,,,,,,,
ACTION.JOB.CONSTRUCT_FLOORING,,Laying floor,,,,,,,,,,,,,
ACTION.JOB.EXTINGUISH_FLAMES,,Putting out a fire,,,,,,,,,,,,,
ACTION.SELECT_JOB.DESCRIPTION,When looking for a job to work,Looking for work to do,Cherchant quoi faire,Buscando qué hacer,Sucht Arbeit,Sta cercando qualcosa da fare,Procurando o que fazer,À procura de trabalho,Ищет работу,Szuka pracy,Werkzoekend,Söker efter arbete,Leter etter arbeid,,Etsii työtä
ACTION.SLEEP_IN_BED.DESCRIPTION,E.g. “Sleeping in wooden bed”,Sleeping in {{containerDescription}},Dormant : {{containerDescription}},Durmiendo en {{containerDescription}},Schläft in {{containerDescription}},Sta dormendo in: {{containerDescription}},Dormindo em {{containerDescription}},A dormir em {{containerDescription}},Спит в: {{containerDescription}},Śpi w {{containerDescription}},,,,,
ACTION.SLEEP_ON_FLOOR.DESCRIPTION,E.g. “Sleeping on rough stone floor”,Sleeping on {{tileDescription}},Dormant : {{tileDescription}},Durmiendo sobre {{tileDescription}},Schläft auf {{tileDescription}},Sta dormendo su: {{tileDescription}},Dormindo em {{tileDescription}},A dormir em {{tileDescription}},Спит на: {{tileDescription}},Śpi na {{tileDescription}},,,,,
ACTION.PREPARATION.VERB,,Preparing,,,,,,,,,,,,,
ACTION.MALTING.VERB,,Malting,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ASHES.NOUN,,Ash,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
CONSTRUCTION.DESCRIPTION,E.g. “Construction of granite stonemason workbench”,Construction of {{materialType.adjective}} {{furnitureType.noun}},Construction : {{furnitureType.noun}} {{materialType.adjective}},Construcción de {{furnitureType.noun}} {{materialType.adjective}},Herstellung von {{furnitureType.noun}} aus {{materialType}},Costruzione di: {{furnitureType.noun}} {{materialType.adjective}},Fabricação de {{furnitureType.noun}} {{materialType.adjective}},Construção de {{materialType.adjective}} {{furnitureType.noun}},Строительство: {{furnitureType.noun}} {{materialType.adjective}},W budowie: {{materialType.adjective}} {{furnitureType.noun}},Constructie van een {{materialType.adjective}} {{furnitureType.noun}},Konstruktion av {{materialType.adjective}} {{furnitureType.noun}},Bygging av {{materialType.adjective}} i {{furnitureType.noun}},Épül: {{materialType.adjective}} {{furnitureType.noun}},Rakentaminen: {{materialType.adjective}} {{furnitureType.noun}}
CONSTRUCTION.ITEM_ALLOCATION,E.g. “1 of 3 marble blocks allocated” (or assigned),{{quantity}} of {{itemDescription}} allocated,Assignation : {{quantity}} {{itemDescription}},Asignado: {{quantity}} de {{itemDescription}},{{quantity}} von {{itemDescription}} zugewiesen,Assegnazione di {{itemDescription}}: {{quantity}},Alocação: {{quantity}} {{itemDescription}},{{quantity}} de {{itemDescription}} atribuídos,Распределено: {{quantity}} из {{itemDescription}},Liczba przydzielonych {{itemDescription}}: {{quantity}},,,,,
CONSTRUCTION.STATUS.CLEARING_WORK_SITE,This is to be displayed when other items need to be cleared out from an area that has something being built over it,Removing other items,Retirant d'autres objets,Eliminando otros objetos,Baut andere Gegenstände ab,Sta rimuovendo altri oggetti,Removendo outros itens,A remover outros itens,Удаление других предметов,Usuwanie innych przedmiotów,,,,,
CONSTRUCTION.STATUS.CLEARING_WORK_SITE.TOOLTIP,,There are items that need to be removed from this furniture’s construction area before it can progress.,,,,,,,,,,,,,
